original,correction
242504272,200023075
200030345,200030435
200026334,200033181
241300383,200035087
200035761,200035731
247000029,200036549
243500568,200038990
243500808,200039022
248200149,200040418
249720046,200041788
200007045,200043602
248600512,200043628
241100411,200043776
243500584,200043990
249710054,200044691
242503886,200065647
216802249,200066009
242500379,200068070
200044022,200068500
248600157,200069854
200027068,200070092
200034817,200070647
243500642,200070662
243500691,200070670
200003176,200070720
241100601,200071926
243901105,200072056
244301032,200085728
200035590,200090504
246201149,200090751
216802926,246800205
216802942,246800395
216800821,246800445
216802876,246800494
216801621,246800551
216801126,246800569
216802694,246800577
216802264,246800585
216802017,246800676
216800664,246800726
